case_key,label,mechanism,transport_model,Le,Pr,domain_length,delta_L0,sL0_over_delta_L0,kappa_target,kappa_global,Uu,Ub,sL0,sL0_mm_s,sc_omega,sc_omega_mm_s,sc_omega_over_sL0,Tmax,n_points,integrated_fuel_rate,status
gri30,GRI-Mech 3.0,gri30.yaml,mixture-averaged,nan,nan,0.03545309166685257,0.00035453091666852574,1244.4805183032497,53.157398680490104,53.157398680490104,0.5027852132041638,1.3818089149866797,0.44120681893017316,441.20681893017314,0.436262805882435,436.262805882435,0.98879434125763,2185.3514843627113,951,-0.028091823207652734,converged
gri30,GRI-Mech 3.0,gri30.yaml,mixture-averaged,nan,nan,0.03545309166685257,0.00035453091666852574,1244.4805183032497,184.35438265786993,184.35438265786993,1.7437019096229511,4.792230917932528,0.44120681893017316,441.20681893017314,0.42678175184752404,426.78175184752405,0.9673054303248834,2179.104329254811,841,-0.027481319423741584,converged
gri30,GRI-Mech 3.0,gri30.yaml,mixture-averaged,nan,nan,0.03545309166685257,0.00035453091666852574,1244.4805183032497,316.6823751178134,316.6823751178135,2.995316163769487,8.232053110558946,0.44120681893017316,441.20681893017314,0.4168730777089564,416.8730777089564,0.9448473138284204,2178.871142551234,832,-0.026843280337278883,converged
gri30,GRI-Mech 3.0,gri30.yaml,mixture-averaged,nan,nan,0.03545309166685257,0.00035453091666852574,1244.4805183032497,447.87935909519325,447.8793590951932,4.236232860188274,11.64247511350479,0.44120681893017316,441.20681893017314,0.40665499258014165,406.65499258014165,0.9216879139950469,2178.8458598760467,820,-0.02618531766640943,converged
gri30,GRI-Mech 3.0,gri30.yaml,mixture-averaged,nan,nan,0.03545309166685257,0.00035453091666852574,1244.4805183032497,580.2073515551367,580.2073515551367,5.4878471143348095,15.082297306131208,0.44120681893017316,441.20681893017314,0.39598978037054133,395.9897803705413,0.8975150958245094,2178.83678950517,806,-0.025498563600226374,converged
gri30,GRI-Mech 3.0,gri30.yaml,mixture-averaged,nan,nan,0.03545309166685257,0.00035453091666852574,1244.4805183032497,711.4043355325165,711.4043355325165,6.7287638107535965,18.492719309077053,0.44120681893017316,441.20681893017314,0.3846635720215982,384.66357202159816,0.8718441227955642,2178.8330445066345,773,-0.02476924668789419,converged
gri30,GRI-Mech 3.0,gri30.yaml,mixture-averaged,nan,nan,0.03545309166685257,0.00035453091666852574,1244.4805183032497,843.73232799246,843.73232799246,7.980378064900133,21.932541501703472,0.44120681893017316,441.20681893017314,0.3729191380909569,372.9191380909569,0.8452252369879539,2178.8318282208534,750,-0.024012999404823168,converged
gri30,GRI-Mech 3.0,gri30.yaml,mixture-averaged,nan,nan,0.03545309166685257,0.00035453091666852574,1244.4805183032497,976.0603204524034,976.0603204524034,9.231992319046666,25.372363694329884,0.44120681893017316,441.20681893017314,0.3616517054624464,361.6517054624464,0.8196874797614644,2178.8317785455965,740,-0.023287467177146734,converged
gri30,GRI-Mech 3.0,gri30.yaml,mixture-averaged,nan,nan,0.03545309166685257,0.00035453091666852574,1244.4805183032497,1108.388312912347,1108.388312912347,10.483606573193203,28.812185886956303,0.44120681893017316,441.20681893017314,0.3513148970212403,351.3148970212403,0.7962589922637632,2178.8317785455965,720,-0.022621859677845073,converged
gri30,GRI-Mech 3.0,gri30.yaml,mixture-averaged,nan,nan,0.03545309166685257,0.00035453091666852574,1244.4805183032497,1236.192271442036,1236.192271442036,11.692430596428746,32.13440732086045,0.44120681893017316,441.20681893017314,0.34230428735895524,342.30428735895526,0.7758363485608989,2178.8317785455965,701,-0.022041648735695005,converged
